[2026-02-07--11-37-02 INFO actix_server::builder] starting 5 workers
[2026-02-07--11-37-02 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-02-07--11-37-02 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-02-07--11-37-02 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/b18b83b3-e1c480e403eefb06.js HTTP/1.1" 200 55445 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.003356
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/04c1a432-edb03f65b9f1a1ca.js HTTP/1.1" 200 2700 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000410
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8298-3afc860dfe3c7887.js HTTP/1.1" 200 44395 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.003100
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8370-021758b1cd213679.js HTTP/1.1" 200 88250 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.007520
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/1365-1770d8165586a8c0.js HTTP/1.1" 200 7706 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.004435
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/layout-9fda25069afc2794.js HTTP/1.1" 200 12398 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.001114
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/bd665b6f-d5ed9f4f3ae4ccb0.js HTTP/1.1" 200 14450 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.001174
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8250-8d8b91de503069bf.js HTTP/1.1" 200 8463 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.001041
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/69-2de999b83ce7b365.js HTTP/1.1" 200 80601 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.003517
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/2791-26d0c10b12b568d6.js HTTP/1.1" 200 15050 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.003950
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8122-64562bcd06159a5c.js HTTP/1.1" 200 16899 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.001452
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/page-4a2892b714895647.js HTTP/1.1" 200 11473 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.003758
[2026-02-07--11-37-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53732.
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000118
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /accounts.txt?_rsc=3lb4g HTTP/1.1" 200 1599 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000315
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /scenarios.txt?_rsc=3lb4g HTTP/1.1" 200 1602 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000301
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000105
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 200 1748 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000140
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/scenarios/page-1f7657501a385f81.js HTTP/1.1" 200 8792 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.004153
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/accounts/page-95a0936c2ea0cc61.js HTTP/1.1" 200 9964 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000909
[2026-02-07--11-40-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57788.
[2026-02-07--11-40-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52102.
[2026-02-07--11-40-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52112.
[2026-02-07--11-41-38 INFO actix_web::middleware::logger] 127.0.0.1 "GET /workspace/v1/indexers HTTP/1.1" 200 6 "http://127.0.0.1:18488/accounts" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.001976
[2026-02-07--11-41-39 INFO actix_web::middleware::logger] 127.0.0.1 "GET /v1/scenarios HTTP/1.1" 200 6 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000086
[2026-02-07--11-42-13 INFO actix_web::middleware::logger] 127.0.0.1 "GET /workspace/v1/indexers HTTP/1.1" 200 6 "http://127.0.0.1:18488/accounts" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000318
